#### EXPORT DONNEES METEO POUR "ATHèNES" (LAT/LON: 37.983917/23.7293599)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2018-01-01,16,13,9,8,16,12,0,50,10,1020,9.125,18,5,14,113,113,113,0,1,8.7,météo correcte
2018-01-02,15,14,18,10,15,13,0,60,10,1012,54.375,16,8,13,122,113,119,0,1,8.7,météo correcte
2018-01-03,13,12,23,10,13,10,0,61,10,1010,27.5,13,6,9,116,113,113,0,1,8.7,météo correcte
2018-01-04,10,9,40,9,9,9,3.4,79,9.75,1010,54.375,10,6,5,122,122,113,0,1,5.3,météo défavorable
2018-01-05,14,11,5,7,14,10,0,50,10,1017,5.5,15,6,12,113,113,113,0,1,8.7,météo correcte
2018-01-06,15,13,10,9,15,11,0,61,10,1023,4.75,16,9,14,113,113,113,0,1,8.7,météo correcte
2018-01-07,16,15,10,11,16,13,0,77,10,1029,39.75,16,11,15,116,122,116,0,1,7,météo correcte
2018-01-08,16,14,9,11,16,13,0,76,10,1031,47.75,16,11,15,116,122,116,0,1,7,météo correcte
2018-01-09,15,14,8,11,15,13,0,77,10,1031,54.5,15,11,14,116,119,119,0,1,5.4,météo correcte
2018-01-10,14,13,11,11,14,12,0.1,75,10,1027,61.5,14,10,12,119,116,122,0,1,8.7,météo correcte
2018-01-11,14,13,5,10,14,12,1.9,73,9.625,1012,67.125,15,10,14,116,116,200,0,1,5.4,météo défavorable
2018-01-12,15,13,13,10,15,12,1.2,71,10,1017,20.875,16,11,13,113,113,116,0,1,8.7,météo correcte
2018-01-13,13,12,13,12,13,11,7.5,73,9.5,1015,61.25,13,9,11,119,113,116,0,1,7,météo correcte
2018-01-14,9,8,27,8,9,7,0.4,70,9,1028,64.375,9,5,5,119,119,116,0,1,3.7,météo défavorable
2018-01-15,11,9,10,6,11,11,0,74,10,1028,56.625,11,8,9,113,122,119,0,1,5.4,météo défavorable
2018-01-16,15,13,14,10,15,12,0,64,10,1023,29.875,15,7,13,116,113,113,0,1,8.7,météo correcte
2018-01-17,16,14,24,10,16,13,0,64,10,1014,6.125,16,9,13,113,113,113,0,1,8.7,météo correcte
2018-01-18,13,9,50,9,11,8,0,36,10,1017,8.25,13,6,5,116,113,113,0,1,8.7,météo correcte
2018-01-19,14,12,12,7,14,10,0,42,10,1018,3.25,15,4,12,113,113,113,0,1,8.7,météo correcte
2018-01-20,15,13,17,10,15,14,0,66,10,1016,44.625,15,9,13,113,119,119,0,1,5.4,météo correcte
2018-01-21,15,14,25,12,15,13,1.7,71,9.875,1013,62.375,15,9,13,122,116,122,0,1,8.7,météo correcte
2018-01-22,12,9,44,9,12,8,0,56,10,1012,23.5,12,8,5,122,113,113,0,1,8.7,météo défavorable
2018-01-23,9,8,18,7,9,8,0.1,70,10,1023,67.125,9,3,6,116,122,122,0,1,3.8,météo défavorable
2018-01-24,8,6,47,6,8,5,0,52,10,1030,37.875,8,2,1,119,113,113,0,1,8.7,météo très défavorable
2018-01-25,8,7,35,5,8,5,0,52,10,1030,29.375,8,0,2,116,119,113,0,1,7.1,météo très défavorable
2018-01-26,10,8,26,5,10,7,0,55,10,1028,2.25,10,0,5,113,113,113,0,1,8.7,météo défavorable
2018-01-27,11,9,19,6,11,8,0,59,10,1032,0.75,11,4,6,113,113,113,0,1,8.7,météo défavorable
2018-01-28,13,11,16,7,13,9,0,63,10,1032,6,13,6,9,113,113,113,0,1,8.7,météo correcte
2018-01-29,15,12,8,8,15,11,0,51,10,1030,0.5,19,7,15,113,113,113,0,1,8.7,météo correcte
2018-01-30,17,15,6,9,17,12,0,50,10,1026,0.5,20,8,18,113,113,113,0,1,8.7,météo correcte
2018-01-31,16,14,6,10,16,12,0,52,10,1024,0,20,9,17,113,113,113,0,1,8.7,météo correcte
2018-02-01,15,14,12,10,15,12,0,63,10,1021,11,16,10,14,113,113,119,0,1,8.7,météo correcte
2018-02-02,15,14,27,11,15,13,0,69,10,1021,49.875,15,10,12,122,119,113,0,1,5.5,météo correcte
2018-02-03,17,16,30,12,17,14,0.4,74,9.375,1019,51.25,17,11,16,116,116,119,0,1,8.7,météo correcte
2018-02-04,17,15,19,14,17,13,0.3,78,9.875,1015,30.75,17,11,14,122,113,113,0,1,8.7,météo correcte
2018-02-05,15,14,18,11,15,11,0,60,10,1020,8.125,16,8,12,113,113,113,0,1,8.7,météo correcte
2018-02-06,14,12,13,9,14,11,0,57,10,1022,7.375,15,7,12,113,113,113,0,1,8.7,météo correcte
2018-02-07,16,13,14,9,16,14,0.1,82,9,1020,27.75,16,13,14,113,116,116,0,1,7.1,météo correcte
2018-02-08,17,15,15,12,17,13,0,44,10,1016,22.5,17,12,14,113,113,116,0,1,8.7,météo correcte
2018-02-09,16,14,9,11,16,13,0.3,55,9,1015,53.375,16,7,15,113,122,119,0,1,7.1,météo correcte
2018-02-10,14,12,36,11,13,13,2.4,84,8.75,1011,72,14,11,10,122,122,113,0,1,5.5,météo défavorable
2018-02-11,15,14,25,11,15,11,0,64,10,1010,22.875,15,9,13,116,116,113,0,1,8.7,météo correcte
2018-02-12,13,12,12,9,13,11,0,51,10,1014,10.375,14,4,11,113,113,113,0,1,10.8,météo correcte
2018-02-13,13,12,14,9,13,12,0,55,10,1015,14.25,14,7,12,113,116,113,0,1,10.8,météo correcte
2018-02-14,14,13,28,11,14,11,0,49,10,1014,17.375,14,7,10,116,113,113,0,1,10.9,météo correcte
2018-02-15,11,10,37,11,11,8,9,87,9.375,1013,61.125,11,8,6,122,122,116,0,1,8.5,météo défavorable
2018-02-16,12,11,42,10,12,9,0.3,73,9.875,1023,37.375,12,7,7,116,119,113,0,1,10.1,météo défavorable
2018-02-17,14,12,19,9,14,10,0,65,10,1023,14,14,6,10,113,113,113,0,1,10.9,météo correcte
2018-02-18,14,12,6,9,14,11,0,60,10,1021,54.5,15,6,12,119,113,119,0,1,8.5,météo correcte
2018-02-19,13,12,13,10,13,10,0.7,70,9,1016,85.5,13,7,10,122,122,119,0,1,5.5,météo défavorable
2018-02-20,12,9,15,9,12,10,4,80,8.75,1014,85.5,12,8,8,122,119,119,0,1,5.5,météo défavorable
2018-02-21,14,13,9,10,14,12,0.2,70,9.875,1008,54,15,9,13,116,119,116,0,1,8.6,météo correcte
2018-02-22,16,14,13,11,16,13,0.2,70,9.875,1011,30.5,16,10,15,116,116,116,0,1,11,météo correcte
2018-02-23,16,14,13,11,16,13,0.5,67,10,1011,39,16,9,14,116,116,116,0,1,11.1,météo correcte
2018-02-24,15,13,21,11,15,11,4.4,72,8.375,1010,56.25,15,9,11,200,122,116,0,1,10.1,météo correcte
2018-02-25,11,9,13,10,11,10,1,70,8,1011,81,12,7,9,266,122,122,0,1,5.6,météo défavorable
2018-02-26,14,12,22,12,14,11,9,77,9.375,1004,52.375,15,9,10,122,116,113,0,1,11.1,météo correcte
