#### EXPORT DONNEES METEO POUR "RIGA" (LAT/LON: 56.9496487/24.1051864)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2018-01-01,5,4,22,2,4,4,3.7,95,9.5,1000,93,5,4,-1,122,122,122,0,1,1.6,météo très défavorable
2018-01-02,3,2,18,2,2,1,0,89,10,1008,79.875,3,1,-3,119,122,116,0,1,1.6,météo très défavorable
2018-01-03,2,1,19,1,2,2,0.1,90,10,1007,97.5,2,1,-3,122,122,122,0,1,1.6,météo très défavorable
2018-01-04,4,3,28,2,3,4,0.7,86,8.375,995,99.125,4,2,-2,122,122,122,0.2,1,2.5,météo très défavorable
2018-01-05,4,3,27,3,3,3,1.5,83,8.875,995,97.25,4,2,-3,122,122,122,0,1,2.5,météo très défavorable
2018-01-06,3,2,16,2,3,2,0.2,87,9.375,1009,94.75,3,2,-1,119,122,122,0.1,1,2.8,météo très défavorable
2018-01-07,1,0,23,1,1,-0,0.1,64,10,1025,28.75,1,0,-5,113,113,113,0,1,7.4,météo très défavorable
2018-01-08,3,2,26,1,2,1,0.3,67,7.625,1032,65,3,0,-4,119,122,116,0,1,4.8,météo très défavorable
2018-01-09,2,1,13,1,2,1,0,91,10,1032,32.125,2,0,-3,116,113,116,0,1,7.5,météo très défavorable
2018-01-10,-0,-2,11,-1,-1,-2,0,89,7,1029,55.25,0,0,-6,143,116,113,0,1,7.5,météo très défavorable
2018-01-11,-1,-3,10,-3,-1,-2,0,83,10,1032,49.25,0,0,-5,113,113,122,0,1,7.5,météo très défavorable
2018-01-12,-2,-3,13,-3,-2,-4,0,77,10,1043,35,0,0,-8,116,116,113,0,1,7.6,météo très défavorable
2018-01-13,-4,-5,9,-5,-4,-5,0,70,10,1044,56.875,0,0,-8,122,122,113,0,1,2.8,météo très défavorable
2018-01-14,-6,-7,12,-6,-6,-7,0,63,10,1043,2,0,0,-11,113,113,113,0,1,7.6,météo très défavorable
2018-01-15,-7,-7,27,-7,-7,-7,0,59,10,1037,5,0,0,-15,113,113,113,0,1,7.7,météo très défavorable
2018-01-16,-4,-7,41,-7,-4,-5,0,35,10,1019,11.625,0,0,-13,116,113,113,0,1,7.7,météo très défavorable
2018-01-17,-4,-5,23,-8,-5,-5,0,79,10,999,85.75,0,0,-13,122,122,122,0,1,2.9,météo très défavorable
2018-01-18,-1,-3,16,-5,-3,-1,0.6,95,9,998,99.25,0,0,-8,122,122,122,0.5,1,2.9,météo très défavorable
2018-01-19,-1,-3,12,-3,-1,-2,0.1,83,10,1006,99.75,0,0,-5,122,122,122,0.1,1,2.9,météo très défavorable
2018-01-20,-2,-3,5,-3,-2,-3,0,91,10,1010,100,0,0,-4,122,122,122,0,1,2.9,météo très défavorable
2018-01-21,-1,-2,8,-4,-1,-2,0.6,83,9.25,1017,84.875,0,0,-5,122,122,122,0.5,1,2.9,météo très défavorable
2018-01-22,-2,-4,23,-5,-4,-2,1,88,8.375,1019,85,0,0,-11,122,119,122,0.8,1,3,météo très défavorable
2018-01-23,-4,-6,18,-5,-5,-7,0.2,86,9.375,1027,61.375,0,0,-12,119,113,116,0.2,1,7.9,météo très défavorable
2018-01-24,2,-2,33,-6,-2,1,3.9,89,8.75,1024,100,2,1,-10,122,122,122,0,1,3,météo très défavorable
2018-01-25,4,3,23,3,4,2,1.4,93,8.875,1015,100,4,3,-1,122,122,122,0,1,3,météo très défavorable
2018-01-26,2,1,8,1,1,1,1,98,3.25,1020,100,2,1,-1,143,248,248,0,1,3,météo très défavorable
2018-01-27,2,2,19,1,2,1,0.3,92,6,1024,79,2,1,-3,143,122,116,0,1,4.9,météo très défavorable
2018-01-28,2,2,23,1,2,2,0.9,92,8.875,1023,92.75,2,1,-3,122,122,122,0.8,1,3,météo très défavorable
2018-01-29,3,1,10,2,2,1,0.4,91,7.875,1006,100,3,2,-2,122,122,143,0.3,1,3.1,météo très défavorable
2018-01-30,1,1,30,1,1,1,3.1,79,4.5,1010,100,1,0,-6,122,122,122,1.7,1,3.1,météo très défavorable
2018-01-31,1,-1,17,-1,1,1,0.2,89,9,1013,87.625,1,0,-4,119,119,122,0.2,1,5,météo très défavorable
2018-02-01,2,2,13,1,2,1,0.8,96,7.875,1003,79.875,2,1,-2,122,122,116,0.4,1,5,météo très défavorable
2018-02-02,1,0,9,-0,1,-1,0,91,10,1007,71.625,1,0,-3,122,122,116,0,1,5,météo très défavorable
2018-02-03,-0,-1,8,-2,-0,-1,0.1,91,10,1012,56.5,0,0,-4,116,116,122,0.1,1,8.4,météo très défavorable
2018-02-04,-1,-4,24,-2,-4,-5,0,75,10,1025,94.75,0,0,-11,122,122,119,0,1,3.2,météo très défavorable
2018-02-05,-4,-5,26,-4,-4,-5,0.1,72,9.375,1026,95.5,0,0,-11,122,122,122,0.1,1,3.3,météo très défavorable
2018-02-06,-2,-5,14,-6,-5,-3,0.7,84,8.375,1017,100,0,0,-10,122,122,122,0.6,1,3.3,météo très défavorable
2018-02-07,-1,-5,20,-4,-1,-3,0.1,81,9.625,1021,74.125,0,0,-7,122,122,116,0.1,1,3.4,météo très défavorable
