#### EXPORT DONNEES METEO POUR "STOCKHOLM" (LAT/LON: 59.3293235/18.0685808)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2018-01-01,3,2,8,2,3,3,3,97,4.5,992,95.625,4,3,0,143,143,143,0,1,1.5,météo très défavorable
2018-01-02,4,3,13,2,4,2,0.1,89,10,999,81.5,4,2,-0,122,119,116,0,1,2.5,météo très défavorable
2018-01-03,3,2,15,1,3,3,0.3,94,7.625,999,82.875,3,2,-1,122,122,122,0.2,1,2.5,météo très défavorable
2018-01-04,3,2,21,2,3,2,2.5,87,7.5,992,100,3,2,-2,122,122,122,2,1,2.5,météo très défavorable
2018-01-05,2,-1,6,1,2,-0,0.1,97,4,994,100,2,2,0,248,143,122,0,1,2.5,météo très défavorable
2018-01-06,-2,-3,15,-4,-3,-4,0,82,10,1013,72.125,0,0,-8,122,122,113,0,1,2.5,météo très défavorable
2018-01-07,-0,-4,24,-4,-2,0,0,66,10,1023,20.875,0,0,-9,113,113,116,0,1,6.6,météo très défavorable
2018-01-08,0,-2,13,-2,0,-1,0,74,10,1031,16.75,0,0,-5,113,116,113,0,1,6.7,météo très défavorable
2018-01-09,-0,-1,14,-1,-0,-3,0,83,10,1032,15.875,0,0,-5,113,113,113,0,1,6.7,météo très défavorable
2018-01-10,-1,-2,9,-4,-1,-2,0,69,10,1027,3.875,0,0,-4,113,113,113,0,1,6.8,météo très défavorable
2018-01-11,1,0,9,-1,1,-1,0,93,9,1032,31.5,1,0,-3,113,116,143,0,1,6.8,météo très défavorable
2018-01-12,1,0,9,0,0,-0,0.4,84,8.75,1041,97.25,1,0,-2,122,122,122,0.2,1,2.6,météo très défavorable
2018-01-13,-0,0,8,-1,-0,-1,0.3,74,9.375,1041,97.25,0,0,-3,122,122,122,0.3,1,2.6,météo très défavorable
