#### EXPORT DONNEES METEO POUR "TALLINN" (LAT/LON: 59.4369608/24.7535746)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2018-01-01,4,2,19,1,2,3,2.3,92,7.875,1000,100,4,3,-3,122,122,122,0.8,1,1.5,météo très défavorable
2018-01-02,4,4,22,4,4,4,1.2,87,8.875,1004,99,4,2,-0,122,122,122,0,1,1.5,météo très défavorable
2018-01-03,4,2,17,3,2,1,0.3,89,9.375,1004,87.375,4,2,-3,122,122,116,0.1,1,1.5,météo très défavorable
2018-01-04,3,2,21,2,2,2,0.5,86,8.625,998,97.75,3,1,-2,122,122,122,0.2,1,1.5,météo très défavorable
2018-01-05,4,3,20,3,4,3,1.7,85,8.75,995,99.375,4,2,-1,122,122,122,0.5,1,1.6,météo très défavorable
2018-01-06,3,1,30,3,1,1,1.1,84,7.125,1004,100,3,2,-5,122,122,122,0.6,1,1.6,météo très défavorable
2018-01-07,2,1,36,-1,1,1,1,61,8.625,1017,50.125,2,0,-6,113,116,122,0,1,3.7,météo très défavorable
2018-01-08,2,0,26,0,1,1,0.1,66,8.625,1027,48.375,2,0,-5,119,113,122,0.1,1,5.8,météo très défavorable
2018-01-09,3,2,17,2,3,1,0,87,10,1028,27,3,0,-2,113,116,113,0,1,5.8,météo très défavorable
2018-01-10,0,-1,6,-1,-0,-1,0,85,10,1027,9.875,0,0,-3,113,113,113,0,1,5.8,météo très défavorable
2018-01-11,0,0,14,-1,0,-2,0,84,10,1034,40.25,0,0,-4,113,122,116,0,1,1.6,météo très défavorable
2018-01-12,-3,-4,9,-4,-3,-5,0,80,10,1044,11.375,0,0,-8,113,116,113,0,1,5.8,météo très défavorable
2018-01-13,-4,-5,9,-5,-4,-5,0,86,10,1045,44.25,0,0,-8,116,119,116,0,1,1.6,météo très défavorable
2018-01-14,-5,-6,13,-6,-5,-7,0,76,10,1043,19,0,0,-12,116,113,113,0,1,5.8,météo très défavorable
2018-01-15,-7,-9,22,-9,-7,-8,0,72,10,1036,5.875,0,0,-15,113,113,113,0,1,5.8,météo très défavorable
2018-01-16,-5,-8,39,-8,-5,-6,0,45,10,1018,34.875,0,0,-14,119,119,113,0,1,3.7,météo très défavorable
2018-01-17,-5,-7,24,-9,-7,-6,0.7,80,8,1002,72.375,0,0,-15,116,122,122,0.6,1,1.7,météo très défavorable
2018-01-18,-4,-5,10,-5,-4,-5,1,90,6.75,999,100,0,0,-8,122,122,122,0.9,1,2.6,météo très défavorable
2018-01-19,-2,-4,8,-3,-2,-3,0.2,91,9.375,1008,95,0,0,-5,122,119,122,0.2,1,2.8,météo très défavorable
2018-01-20,-1,-2,9,-2,-1,-2,0.5,90,8.625,1010,99.5,0,0,-5,122,122,122,0.5,1,2.8,météo très défavorable
2018-01-21,-3,-4,13,-3,-4,-5,0.1,85,9.375,1015,87.75,0,0,-9,122,122,119,0.1,1,2.8,météo très défavorable
2018-01-22,-1,-5,25,-3,-1,-2,3.7,87,7,1015,92.75,0,0,-8,122,122,122,3.1,1,2.9,météo très défavorable
2018-01-23,-1,-3,14,-4,-3,-2,0.6,85,8.125,1022,91.25,0,0,-7,122,119,122,0.5,1,2.9,météo très défavorable
2018-01-24,4,-2,38,-5,-2,3,2.5,91,5.75,1019,100,4,2,-10,122,122,122,0,1,2.9,météo très défavorable
2018-01-25,6,4,32,5,5,3,3.4,83,9.75,1007,90.625,6,5,-2,122,119,122,0,1,2.9,météo très défavorable
2018-01-26,3,2,17,2,3,2,0.2,95,9.875,1018,94,3,2,-1,119,122,122,0,1,2.9,météo très défavorable
2018-01-27,3,2,20,2,3,2,0.3,88,8.375,1019,95.125,3,2,-2,122,122,122,0.1,1,2.9,météo très défavorable
2018-01-28,1,1,21,0,1,1,1.1,89,7.375,1019,86.125,1,0,-4,122,122,122,0.9,1,2.9,météo très défavorable
2018-01-29,1,0,12,0,1,-0,0.1,92,7.625,1004,98.25,1,0,-3,143,122,122,0.2,1,3,météo très défavorable
2018-01-30,-0,-2,16,-1,-2,-2,1.3,83,6.375,1009,100,0,0,-7,122,122,122,1.2,1,3,météo très défavorable
2018-01-31,-1,-2,14,-2,-1,-2,0.1,80,9.625,1011,74,0,0,-7,119,116,122,0.1,1,6.8,météo très défavorable
